customer_id,full_name,date_of_birth,country_of_residence,nationality,occupation,risk_rating,pep_flag,account_open_date,kyc_status,segment
CUST0001,Customer_0001,1975-04-05,Panama,Panama,Software Engineer,Medium,No,2022-04-27 02:37:00,Verified,Retail
CUST0002,Customer_0002,1994-07-08,USA,USA,Trader,Low,No,2022-07-26 08:51:00,Pending,Corporate
CUST0003,Customer_0003,1969-04-25,Singapore,Singapore,Student,Low,No,2019-11-02 02:24:00,Verified,Corporate
CUST0004,Customer_0004,1994-02-13,Panama,Panama,Software Engineer,Medium,No,2022-05-11 09:53:00,Verified,Private Banking
CUST0005,Customer_0005,1962-11-08,France,France,Retired,Low,No,2019-09-17 07:55:00,Verified,Retail
CUST0006,Customer_0006,1982-04-22,UK,UK,Retired,Medium,No,2022-11-24 02:38:00,Verified,Retail
CUST0007,Customer_0007,2000-12-18,Japan,Japan,Lawyer,Low,No,2021-01-30 01:14:00,Pending,Corporate
CUST0008,Customer_0008,1996-12-11,UK,UK,Lawyer,Low,No,2022-12-09 15:25:00,Pending,Corporate
CUST0009,Customer_0009,1995-09-09,Germany,Germany,Banker,Low,No,2021-08-31 18:25:00,Verified,Private Banking
CUST0010,Customer_0010,1963-02-05,Japan,Japan,Doctor,Low,Yes,2021-08-18 19:04:00,Verified,Retail
CUST0011,Customer_0011,1960-11-24,Canada,Canada,Software Engineer,Low,No,2022-04-10 08:49:00,Verified,Retail
CUST0012,Customer_0012,1976-09-25,Japan,Japan,Doctor,Low,Yes,2022-02-09 03:55:00,Verified,Corporate
CUST0013,Customer_0013,1970-09-25,France,France,Real Estate Agent,Low,No,2019-04-08 19:20:00,Verified,Retail
CUST0014,Customer_0014,1975-10-03,Canada,Canada,Software Engineer,Low,No,2021-12-27 02:48:00,Verified,Retail
CUST0015,Customer_0015,1993-10-14,Canada,Canada,Lawyer,Medium,No,2022-04-15 23:44:00,Verified,Retail
CUST0016,Customer_0016,1993-08-04,Cyprus,Cyprus,Lawyer,High,No,2020-07-10 02:21:00,Verified,Retail
CUST0017,Customer_0017,2000-01-08,Panama,Panama,Software Engineer,Medium,Yes,2019-06-10 10:04:00,Verified,Retail
CUST0018,Customer_0018,1996-10-16,Germany,Germany,Lawyer,Low,No,2021-11-30 13:12:00,Verified,Corporate
CUST0019,Customer_0019,1963-11-21,Singapore,Singapore,Software Engineer,Low,No,2019-08-09 12:46:00,Verified,Private Banking
CUST0020,Customer_0020,1968-07-06,France,France,Retired,Low,No,2021-11-09 07:55:00,Expired,Retail
CUST0021,Customer_0021,1994-01-03,Nigeria,Nigeria,Lawyer,High,Yes,2020-03-12 13:31:00,Verified,Private Banking
CUST0022,Customer_0022,1984-05-26,British Virgin Islands,British Virgin Islands,Trader,High,No,2020-11-11 13:44:00,Expired,Private Banking
